views/60d  langs   ngram  letters  status   title
---------  -----  ------  -------  -------  ----------------------------------------
  220,462     61                8  kept     Denis Villeneuve
  220,253     72                8  kept     The X-Files
  219,998     97                7  kept     James Dean
  219,658     74                7  kept     Depeche Mode
  219,424    173                6  kept     Taj Mahal
  219,074     85                8  kept     Tim Burton
  218,214     62               10  kept     Man of Steel (film)
  218,189     64               13  kept     The Social Network
  217,803    118                8  kept     Antoni Gaudí
  217,790    137               10  kept     Burj Khalifa
  216,859     46                8  kept     Gilmore Girls
  216,765     44               10  kept     The Handmaid's Tale
  216,156     65                3  kept     Area 51
  215,724     67                6  kept     Skyfall
  215,606     68               12  kept     The Wolf of Wall Street (2013 film)
  215,165     64               13  kept     Spider-Man: Into the Spider-Verse
  215,014    276                6  kept     Language
  214,313    106                7  kept     Nirvana (band)
  213,883     63                8  kept     Seven (1995 film)
  213,748    118               12  kept     The Lord of the Rings
  213,619    150               12  kept     Alfred Hitchcock
  213,401     59                8  kept     Wes Anderson
  213,097     68               12  kept     Raiders of the Lost Ark
  212,679     85                9  kept     Casablanca (film)
  212,248    100               10  kept     Forrest Gump
  211,833    104               10  kept     Sophia Loren
  211,538     83                7  kept     Attack on Titan
  211,498     68                8  kept     Taxi Driver
  211,439    154                9  kept     Edgar Allan Poe
  211,284     43                8  kept     True Detective
  209,823     36               14  REMOVED  Curb Your Enthusiasm
  209,335     29                4  kept     Grogu
  209,024     66               10  kept     The Green Mile (film)
  208,430     60                9  kept     Black Mirror
  207,915    164                8  kept     Mark Twain
  207,748     84                6  kept     Deep Purple
  206,431    118                7  kept     Stonehenge
  206,046     29                8  kept     Indiana Jones
  205,582     80                7  REMOVED  Frank Zappa
  205,553     80                5  kept     Ice Cube
  204,731    117                4  kept     Apollo
  204,711    102                9  kept     King Arthur
  204,205     77                8  kept     Bill Murray
  204,007    110                8  kept     Blackpink
  203,832     36               13  REMOVED  Jurassic Park (franchise)
  203,487     45                9  kept     The Witcher (TV series)
  203,408     88                9  kept     The Terminator
  202,665     98               10  kept     Spirited Away
  202,558     55                8  kept     Calvin Klein
  202,498     69               12  kept     Catch Me If You Can
  201,862     82                7  kept     Radiohead
  201,809     69                8  kept     Jimmy Page
  201,293     72                9  kept     Marvin Gaye
  200,973    106                5  kept     Pompeii
  200,921    106                9  kept     Sherlock Holmes
  200,702     64                8  kept     Sofia Coppola
  200,605     62                8  kept     Alice in Chains
  200,502    218               14  kept     Ludwig van Beethoven
  200,492    233                7  kept     Buddhism
  200,134     45               11  kept     Roswell incident
  199,511     76                8  kept     Muse (band)
  199,258     64               10  kept     The Shining (film)
  199,088     52               14  kept     Jean-Michel Basquiat
  198,932     45               11  kept     Malcolm in the Middle
  198,847     86                8  kept     Family Guy
  198,338     65                9  kept     The Mummy (1999 film)
  197,984    102               12  kept     Bermuda Triangle
  197,761     60                8  kept     Dexter (TV series)
  197,686    111                8  kept     Carl Jung
  197,325     74               13  kept     Terminator 2: Judgment Day
  197,270     36               10  kept     King of the Hill
  197,151     57               10  kept     Red Dead Redemption 2
  197,083     99                9  kept     Yukio Mishima
  196,945     81               11  kept     New 7 Wonders of the World
  196,938     91               10  kept     Andrea Bocelli
  196,858    100                6  kept     C. S. Lewis
  196,767     60                7  kept     Dune (novel)
  196,688     54                8  REMOVED  Beastie Boys
  196,568     55                7  kept     The Strokes
  196,059     86               13  kept     The Silence of the Lambs (film)
  195,990     65               10  REMOVED  Joni Mitchell
  195,561     88               10  kept     James Brown
  194,992     71               10  kept     Backstreet Boys
  194,864     71                7  REMOVED  Buddy Holly
  194,595    172               13  kept     Great Wall of China
  194,387     83                7  kept     Kiss (band)
  194,224    100                7  kept     Spotify
  194,014     65                7  kept     Abbey Road
  193,697     67               10  kept     Apocalypse Now
  193,361     50                8  kept     Wu-Tang Clan
  193,276     42               12  kept     Stand by Me (film)
  193,275     64                9  kept     Foo Fighters
  193,224    206                7  kept     Socrates
  192,995     86                8  kept     Black Sabbath
  192,952     62                8  kept     Barbie (film)
  192,403     54               10  kept     Requiem for a Dream
  192,378     67                4  kept     La La Land
  192,203    232                8  kept     Aristotle
  192,139     64                8  kept     Goodfellas
  191,997     60                8  kept     Marina Abramović
  191,904     71               10  kept     The Prodigy
  191,723     51                7  REMOVED  Nick Cave
  191,687     57                8  kept     Jumanji (film)
  190,680     74               10  kept     Parasite (2019 film)
  190,670     72               11  kept     Michael Crichton
  190,279     84                9  kept     Sylvia Plath
  190,274     60                6  kept     Van Halen
  189,996     84               11  kept     Mont-Saint-Michel
  189,862     50                7  kept     Seinfeld
  189,753    129                7  kept     Machu Picchu
  189,717     66                9  kept     Neon Genesis Evangelion
  189,282     62                8  kept     Cormac McCarthy
  188,744    125                9  kept     Don Quixote
